time,pH,Na,K,Ca,Mg,PO4,Cl,NH4,SO4
6,6.982,4.166,0.33,4.894,1.059,0.021,6.062,0.422,0.182
19,7.246,8.441,0.385,6.739,1.412,0.045,15.494,0.523,0.251
33,6.94,11.856,0.409,7.27,1.853,0.035,23.185,0.569,0.781
47,6.949,13.559,0.464,7.995,2.147,0.029,27.89,0.564,1.187
62,6.775,17.833,0.499,8.138,2.235,0.034,34.834,0.643,1.167
75,6.717,18.162,0.463,8.864,2.118,0.011,33.57,0.635,1.04
89,6.659,24.322,0.437,8.277,2.118,0.024,41.26,0.655,1.055
103,7.114,24.826,0.461,7.593,2.059,0.014,39.995,0.638,1
117,6.808,26.014,0.466,8.465,2.118,0.016,43.456,0.638,0.891
131,7.048,27.029,0.46,6.954,2,0.016,39.706,0.6,0.764
145,6.957,29.417,0.464,7.437,2.059,0.017,44.66,0.562,0.815
159,6.974,28.035,0.464,7.482,1.941,0.011,43.645,0.595,0.582
173,6.8,31.793,0.478,7.041,1.941,0.013,46.856,0.603,0.615
187,6.659,33.152,0.467,7.087,1.941,0.016,45.095,0.595,0.541
200,6.659,31.598,0.462,7.083,1.941,0.015,45.57,0.594,0.521