salinity,Qmax,KBA,soil
0,0.231943032,1,Kirk
19.68,0.460834181,0.931531532,Kirk
39.36,0.668362157,0.634234234,Kirk
68.88,1,0.398198198,Kirk
0,0.20462963,0.718009479,Task
19.68,0.383333333,1,Task
39.36,0.669444444,0.341232227,Task
68.88,1,0.233412322,Task
0,0.468,1,Jug
19.68,0.976,0.651612903,Jug
39.36,0.928,0.722580645,Jug
68.88,1,0.696774194,Jug
0,0.182352941,1,Wach
19.68,0.591911765,0.32516129,Wach
39.36,0.636029412,0.441290323,Wach
68.88,1,0.238064516,Wach
0,0.169741697,1,KirkC
19.68,0.3099631,0.892156863,KirkC
39.36,0.664206642,0.441176471,KirkC
68.88,1,0.117647059,KirkC
0,0.061349693,1,TaskC
19.68,0.193251534,0.614634146,TaskC
39.36,0.625766871,0.190243902,TaskC
68.88,1,0.063414634,TaskC
0,0.056016598,1,JugC
19.68,0.496887967,0.142857143,JugC
39.36,1,0.068681319,JugC
68.88,0.81846473,0.087912088,JugC
0,0.078014184,1,WachC
19.68,0.170212766,0.867924528,WachC
39.36,0.382978723,0.466307278,WachC
68.88,1,0.204851752,WachC